subj	block	trial	run_index	voc_chan	gap_len	attn	hit	miss	fals	crej	frsp	slot	attn_lett	mask_lett	targ	foil	press	onset	press_time	reax_time
13	1	1	43	10	short	maint.	True	False	False	False	False	1	O	E	True	False	True	0.5	1.08763004833	0.587630048333
13	1	1	43	10	short	maint.	False	False	False	True	False	2	V	O	False	True	False	1.2		
13	1	1	43	10	short	maint.	False	False	False	True	False	3	P	D	False	False	False	1.7		
13	1	2	4	10	short	maint.	False	False	False	True	False	0	E	G	False	False	False	0.0		
13	1	2	4	10	short	maint.	False	True	False	False	False	1	O	D	True	False	False	0.5		
13	1	2	4	10	short	maint.	False	False	True	False	False	2	P	E	False	False	True	1.2	1.74524453183	0.545244531826
13	1	2	4	10	short	maint.	False	False	False	True	False	3	D	O	False	True	False	1.7		
13	1	3	111	20	long	switch	False	True	False	False	False	0	O	G	True	False	False	0.0		
13	1	3	111	20	long	switch	False	False	False	True	False	1	G	E	False	False	False	0.5		
13	1	3	111	20	long	switch	True	False	False	False	False	2	O	D	True	False	True	1.6	1.79955763087	0.199557630868
13	1	3	111	20	long	switch	False	False	False	True	False	3	D	P	False	False	False	2.1		
13	1	4	33	10	long	maint.	False	True	False	False	False	0	O	V	True	False	False	0.0		
13	1	4	33	10	long	maint.	False	False	False	True	False	1	D	P	False	False	False	0.5		
13	1	4	33	10	long	maint.	True	False	False	False	False	2	O	D	True	False	True	1.6	1.74581797329	0.145817973294
13	1	4	33	10	long	maint.	False	False	False	True	False	3	V	G	False	False	False	2.1		
13	1	5	10	10	short	maint.	True	False	False	False	False	0	O	G	True	False	True	0.0	0.832366674859	0.832366674859
13	1	5	10	10	short	maint.	False	False	False	True	False	1	G	D	False	False	False	0.5		
13	1	5	10	10	short	maint.	False	True	False	False	False	2	O	V	True	False	False	1.2		
13	1	5	10	10	short	maint.	False	False	False	True	False	3	V	P	False	False	False	1.7		
13	1	6	82	10	short	switch	False	False	False	True	False	0	V	D	False	False	False	0.0		
13	1	6	82	10	short	switch	False	True	False	False	False	1	O	G	True	False	False	0.5		
13	1	6	82	10	short	switch	False	False	False	True	False	2	D	E	False	False	False	1.2		
13	1	6	82	10	short	switch	False	False	True	False	True	3	G	O	False	True	True	1.7	1.99030883919	0.290308839191
13	1	7	143	20	long	switch	False	False	False	True	False	0	P	D	False	False	False	0.0		
13	1	7	143	20	long	switch	True	False	False	False	False	1	O	G	True	False	True	0.5	1.06567543213	0.565675432129
13	1	7	143	20	long	switch	False	False	False	True	False	2	V	P	False	False	False	1.6		
13	1	7	143	20	long	switch	False	False	False	True	False	3	D	O	False	True	False	2.1		
13	1	8	43	20	short	maint.	False	False	False	True	False	0	G	V	False	False	False	0.0		
13	1	8	43	20	short	maint.	True	False	False	False	False	1	O	E	True	False	True	0.5	1.22234783321	0.72234783321
13	1	8	43	20	short	maint.	False	False	False	True	False	2	V	O	False	True	False	1.2		
13	1	8	43	20	short	maint.	False	False	False	True	False	3	P	D	False	False	False	1.7		
13	1	9	147	20	long	switch	False	False	False	True	False	0	G	V	False	False	False	0.0		
13	1	9	147	20	long	switch	False	False	False	True	False	1	E	O	False	True	False	0.5		
13	1	9	147	20	long	switch	True	False	False	False	False	2	O	E	True	False	True	1.6	2.40666830507	0.806668305071
13	1	9	147	20	long	switch	False	False	False	True	False	3	D	P	False	False	False	2.1		
13	1	10	82	20	short	switch	False	False	False	True	False	0	V	D	False	False	False	0.0		
13	1	10	82	20	short	switch	True	False	False	False	False	1	O	G	True	False	True	0.5	1.39630539854	0.896305398542
13	1	10	82	20	short	switch	False	False	False	True	False	2	D	E	False	False	False	1.2		
13	1	10	82	20	short	switch	False	False	False	True	False	3	G	O	False	True	False	1.7		
13	1	11	33	20	long	maint.	True	False	False	False	False	0	O	V	True	False	True	0.0	0.84932415827	0.84932415827
13	1	11	33	20	long	maint.	False	False	False	True	False	1	D	P	False	False	False	0.5		
13	1	11	33	20	long	maint.	True	False	False	False	False	2	O	D	True	False	True	1.6	1.70600475137	0.106004751372
13	1	11	33	20	long	maint.	False	False	False	True	False	3	V	G	False	False	False	2.1		
13	1	12	76	20	long	maint.	False	True	False	False	False	0	O	P	True	False	True	0.0	1.59315966249	1.59315966249
13	1	12	76	20	long	maint.	False	False	False	True	False	1	P	G	False	False	False	0.5		
13	1	12	76	20	long	maint.	False	True	False	False	False	2	O	V	True	False	False	1.6		
13	1	12	76	20	long	maint.	False	False	False	True	False	3	G	E	False	False	False	2.1		
13	1	13	48	20	short	maint.	False	False	False	True	False	0	G	O	False	True	False	0.0		
13	1	13	48	20	short	maint.	False	False	False	True	False	1	E	G	False	False	False	0.5		
13	1	13	48	20	short	maint.	True	False	False	False	False	2	O	D	True	False	True	1.2	2.10323584828	0.903235848284
13	1	13	48	20	short	maint.	False	False	False	True	False	3	D	P	False	False	False	1.7		
13	1	14	130	20	short	switch	False	False	False	True	False	0	D	O	False	True	False	0.0		
13	1	14	130	20	short	switch	False	False	False	True	False	1	V	G	False	False	False	0.5		
13	1	14	130	20	short	switch	False	True	False	False	False	2	O	V	True	False	False	1.2		
13	1	14	130	20	short	switch	False	False	True	False	False	3	G	E	False	False	True	1.7	2.34698943229	0.646989432293
13	1	15	118	20	long	switch	False	False	False	True	False	0	P	O	False	True	False	0.0		
13	1	15	118	20	long	switch	False	False	False	True	False	1	G	D	False	False	False	0.5		
13	1	15	118	20	long	switch	False	False	True	False	False	2	E	V	False	False	True	1.6	1.92587859425	0.325878594249
13	1	15	118	20	long	switch	False	True	False	False	False	3	O	E	True	False	False	2.1		
13	1	16	90	20	short	switch	False	False	False	True	False	0	G	O	False	True	False	0.0		
13	1	16	90	20	short	switch	False	False	False	True	False	1	E	P	False	False	False	0.5		
13	1	16	90	20	short	switch	False	True	False	False	False	2	O	V	True	False	False	1.2		
13	1	16	90	20	short	switch	False	False	True	False	False	3	V	D	False	False	True	1.7	2.33048251004	0.630482510035
13	1	17	10	20	short	maint.	False	True	False	False	False	0	O	G	True	False	False	0.0		
13	1	17	10	20	short	maint.	False	False	True	False	False	1	G	D	False	False	True	0.5	1.29488817891	0.794888178914
13	1	17	10	20	short	maint.	False	True	False	False	False	2	O	V	True	False	False	1.2		
13	1	17	10	20	short	maint.	False	False	False	True	False	3	V	P	False	False	False	1.7		
13	1	18	111	10	long	switch	False	True	False	False	False	0	O	G	True	False	True	0.0	1.54195953142	1.54195953142
13	1	18	111	10	long	switch	False	False	False	True	False	1	G	E	False	False	False	0.5		
13	1	18	111	10	long	switch	False	True	False	False	False	2	O	D	True	False	False	1.6		
13	1	18	111	10	long	switch	False	False	False	True	False	3	D	P	False	False	False	2.1		
13	1	19	90	10	short	switch	False	False	False	True	False	0	G	O	False	True	False	0.0		
13	1	19	90	10	short	switch	False	False	False	True	False	1	E	P	False	False	False	0.5		
