subj	block	trial	run_index	voc_chan	gap_len	attn	hits	misses	false_alarms	corr_rej	press_times	targ_letters	mask_letters
01	4	16	6	10	short	maint	1	0	0	3	[0.9817891373801917]	['G' 'O' 'V' 'E']	['V' 'G' 'P' 'O']
01	4	17	15	10	short	maint	1	0	0	3	[1.8343327598918653]	['E' 'G' 'O' 'D']	['O' 'V' 'D' 'E']
01	4	18	158	10	long	switch	2	0	0	2	[0.5516670762677154, 2.5683787990497255]	['O' 'G' 'E' 'O']	['G' 'V' 'D' 'P']
01	4	19	79	10	long	maint	0	0	1	3	[0.9480380109773083]	['E' 'D' 'P' 'G']	['D' 'O' 'O' 'E']
01	4	20	62	10	long	maint	2	0	0	2	[0.9291554026378308, 2.0734168919472435]	['G' 'O' 'O' 'D']	['D' 'E' 'G' 'P']
01	4	21	156	20	long	switch	1	0	0	3	[2.066986155484558]	['P' 'E' 'O' 'D']	['O' 'D' 'P' 'G']
01	4	22	79	20	long	maint	0	0	1	3	[2.133751126402884]	['E' 'D' 'P' 'G']	['D' 'O' 'O' 'E']
01	4	23	106	20	long	switch	1	0	1	2	[0.9349717375276483, 2.2461046940280167]	['D' 'O' 'E' 'P']	['E' 'P' 'D' 'O']
01	4	24	15	20	short	maint	1	0	0	3	[1.6919144753010569]	['E' 'G' 'O' 'D']	['O' 'V' 'D' 'E']
01	4	25	8	20	short	maint	2	0	0	2	[0.5537150815106087, 2.0834521176374214]	['O' 'P' 'O' 'E']	['D' 'E' 'V' 'P']
01	4	26	144	20	long	switch	2	0	0	2	[0.9198984189399524, 2.5189399524862783]	['D' 'O' 'P' 'O']	['G' 'E' 'V' 'D']
01	4	27	75	20	long	maint	0	1	0	4	[]	['V' 'G' 'O' 'E']	['O' 'P' 'V' 'D']
01	4	28	52	20	short	maint	1	0	0	3	[2.113762595232244]	['E' 'G' 'O' 'D']	['V' 'O' 'G' 'E']
01	4	29	8	10	short	maint	2	0	0	2	[0.5266814123044157, 1.9857213074465472]	['O' 'P' 'O' 'E']	['D' 'E' 'V' 'P']
01	4	30	75	10	long	maint	1	0	1	2	[0.8329401163266978, 2.1380928975178177]	['V' 'G' 'O' 'E']	['O' 'P' 'V' 'D']
01	4	31	52	10	short	maint	1	0	0	3	[2.1845416564266404]	['E' 'G' 'O' 'D']	['V' 'O' 'G' 'E']
01	5	0	61	20	long	maint	1	0	0	3	[0.6948636028508233]	['O' 'P' 'V' 'E']	['P' 'V' 'O' 'G']
01	5	1	64	20	long	maint	1	0	0	3	[0.9167035307610387]	['V' 'O' 'E' 'P']	['G' 'E' 'P' 'O']
01	5	2	84	20	short	switch	2	0	0	2	[0.9230523470140084, 2.344449905791759]	['P' 'O' 'E' 'O']	['V' 'P' 'G' 'D']
01	5	3	139	20	short	switch	0	0	0	4	[]	['P' 'E' 'G' 'V']	['E' 'O' 'V' 'O']
